ed_level_enc,is_employed,is_remote,is_student,years_code,years_code_pro,devtype_developer_full_stack,devtype_developer_back_end,devtype_developer_front_end,devtype_developer_mobile,devtype_data_scientist_or_machine_learning_specialist,devtype_devops_specialist,devtype_engineering_manager,devtype_data_engineer,devtype_developer_desktop_or_enterprise_applications,devtype_security_professional,above_median_salary,ConvertedCompYearly,age_group,age_exp_pro,age_exp_total,exp_pro_bracket,exp_total_bracket
4.0,1,1,0,12.0,12.0,1,0,0,0,0,0,0,0,0,0,1,162105.0,experienced,experienced_mid,experienced_mid,mid,mid
4.0,1,1,0,15.0,5.0,1,0,0,0,0,0,0,0,0,0,1,150000.0,young,young_mid,young_senior,mid,senior
5.0,1,0,0,14.0,10.0,1,0,0,0,0,0,0,0,0,0,1,130000.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,26.0,16.0,0,0,0,0,0,0,0,0,0,0,1,107406.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,1,0,9.0,3.0,0,0,0,0,0,0,0,1,0,0,1,89172.0,young,young_junior,young_mid,junior,mid
1.0,1,0,0,35.0,5.0,0,0,0,0,0,0,0,1,0,0,1,79279.0,experienced,experienced_mid,experienced_senior,mid,senior
4.0,1,0,0,22.0,17.0,1,0,0,0,0,0,0,0,0,0,1,91719.0,experienced,experienced_senior,experienced_senior,senior,senior
2.0,1,0,0,45.0,43.0,1,0,0,0,0,0,0,0,0,0,1,67516.0,experienced,experienced_senior,experienced_senior,senior,senior
3.0,1,0,0,5.0,3.0,1,0,0,0,0,0,0,0,0,0,1,72500.0,young,young_junior,young_mid,junior,mid
2.0,1,1,0,6.0,5.0,1,0,0,0,0,0,0,0,0,0,1,108000.0,young,young_mid,young_mid,mid,mid
3.0,1,1,0,6.0,3.0,1,0,0,0,0,0,0,0,0,0,1,155000.0,young,young_junior,young_mid,junior,mid
5.0,1,1,0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,42962.0,young,young_mid,young_mid,mid,mid
4.0,1,0,0,8.0,6.0,1,0,0,0,0,0,0,0,0,0,1,193000.0,young,young_mid,young_mid,mid,mid
5.0,1,0,0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,1,164000.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,17.0,4.0,1,0,0,0,0,0,0,0,0,0,1,122000.0,young,young_junior,young_senior,junior,senior
5.0,1,0,0,14.0,6.0,0,1,0,0,0,0,0,0,0,0,1,245000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,1,11.0,6.0,0,0,0,0,0,0,0,1,0,0,1,148000.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,7.0,4.0,0,0,0,1,0,0,0,0,0,0,0,7336.0,young,young_junior,young_mid,junior,mid
5.0,1,1,0,5.0,4.0,0,0,1,0,0,0,0,0,0,0,0,34000.0,young,young_junior,young_mid,junior,mid
2.0,1,0,1,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,63000.0,young,young_junior,young_mid,junior,mid
2.0,1,0,0,7.0,2.0,1,0,0,0,0,0,0,0,0,0,0,6937.0,young,young_junior,young_mid,junior,mid
2.0,1,1,0,25.0,18.0,0,0,1,0,0,0,0,0,0,0,1,211336.0,young,young_senior,young_senior,senior,senior
2.0,1,0,0,14.0,7.0,1,0,0,0,0,0,0,0,0,0,1,65815.0,young,young_mid,young_mid,mid,mid
4.0,1,1,0,18.0,14.0,0,0,0,0,0,0,0,0,0,0,1,181000.0,young,young_mid,young_senior,mid,senior
4.0,1,1,0,20.0,16.0,0,0,0,0,0,0,1,0,0,0,1,250000.0,experienced,experienced_senior,experienced_senior,senior,senior
4.0,1,1,0,5.0,3.0,0,0,0,0,0,0,0,1,0,0,1,120000.0,young,young_junior,young_mid,junior,mid
4.0,1,0,0,9.0,6.0,1,0,0,0,0,0,0,0,0,0,0,48333.0,young,young_mid,young_mid,mid,mid
0.0,1,1,0,10.0,10.0,0,0,0,0,0,0,0,0,1,0,0,55425.0,experienced,experienced_mid,experienced_mid,mid,mid
2.0,1,1,0,16.0,5.0,1,0,0,0,0,0,0,0,0,0,0,23629.0,young,young_mid,young_senior,mid,senior
5.0,1,1,0,10.0,6.0,0,1,0,0,0,0,0,0,0,0,1,127388.0,experienced,experienced_mid,experienced_mid,mid,mid
